name;description
high_beam;High beam, main beam
low_beam;Low beam, dipped beam
hazard_warning;Hazard warning
brake_failure;Brake failure/brake system malfunction
hatch_open;Hatch open
fuel_level;Fuel level
engine_coolant_temperature;Engine coolant temperature
battery_charging_condition;Battery charging condition
engine_oil;Engine oil
position_lights;Position lights, side lights
front_fog_light;Front fog light
rear_fog_light;Rear fog light
park_heating;Park Heating
engine_indicator;Engine indicator
service_call;Service, call for maintenance
transmission_fluid_temperature;Transmission fluid temperature
transmission_failure;Transmission failure/malfunction
anti_lock_brake_failure;Anti-lock brake system failure
worn_brake_linings;Worn brake linings
windscreen_washer_fluid;Windscreen washer fluid/windshield washer fluid
tire_failure;Tire failure/malfunction
engine_oil_level;Engine oil level
engine_coolant_level;Engine coolant level
steering_failure;Steering failure
esc_indication;Electronic Speed Controller indiction
brake_lights;Brake lights
adblue_level;AdBlue level
fuel_filter_diff_pressure;Fuel filter differential pressure
seat_belt;Seat belt
advanced_braking;Advanced emergency braking system
acc;Autonomous/adaptive Cruise Control
trailer_connected;Trailer connected
airbag;Airbag
esc_switched_off;ESC switched off
lane_departure_warning_off;Lane departure warning switched off
air_filter_minder;
air_suspension_ride_control_fault;
all_wheel_drive_disabled;
anti_theft;
blind_spot_detection;
charge_system_fault;
check_fuel_cap;
check_fuel_fill_inlet;
check_fuel_filter;
dc_temp_warning;
dc_warning_status;
diesel_engine_idle_shutdown;
diesel_engine_warning;
diesel_exhaust_fluid_system_fault;
diesel_exhaust_over_temp;
diesel_exhaust_fluid_quality;
diesel_filter_regeneration;
diesel_particulate_filter;
diesel_pre_heat;
electric_trailer_brake_connection;
ev_battery_cell_max_volt_warning;
ev_battery_cell_min_volt_warning;
ev_battery_charge_energy_storage_warning;
ev_battery_high_level_warning;
ev_battery_high_temperature_warning;
ev_battery_insulation_resist_warning;
ev_battery_jump_level_warning;
ev_battery_low_level_warning;
ev_battery_max_volt_veh_energy_warning;
ev_battery_min_volt_veh_energy_warning;
ev_battery_over_charge_warning;
ev_battery_poor_cell_warning;
ev_battery_temp_diff_warning;
forward_collision_warning;
fuel_door_open;
hill_descent_control_fault;
hill_start_assist_warning;
hv_interlocking_status_warning;
lighting_system_failure;
malfunction_indicator;
motor_controller_temp_warning;
park_aid_malfunction;
passive_entry_passive_start;
powertrain_malfunction;
restraints_indicator_warning;
start_stop_engine_warning;
traction_control_disabled;
traction_control_active;
traction_motor_temp_warning;
tire_pressure_monitor_system_warning;
water_in_fuel;
tire_warning_front_right;
tire_warning_front_left;
tire_warning_rear_right;
tire_warning_rear_left;
tire_warning_system_error;
battery_low_warning;
brake_fluid_warning;